Name,Platform,Year_of_Release,Mean Playing time
Street Fighter X Tekken,PS3,2012,4
Street Fighter X Tekken,X360,2012,4
Street Fighter X Tekken,PSV,2012,4
Street Fighter X Tekken,PC,2012,4
Pro Evolution Soccer 2013,PS3,2012,6
Pro Evolution Soccer 2013,X360,2012,6
Pro Evolution Soccer 2013,PSP,2012,6
Pro Evolution Soccer 2013,3DS,2012,6
Pro Evolution Soccer 2013,Wii,2012,6
Pro Evolution Soccer 2013,PC,2012,6
BioShock Infinite,X360,2013,17
BioShock Infinite,PS3,2013,17
BioShock Infinite,PC,2013,17
Grand Theft Auto V,PS3,2013,85
Grand Theft Auto V,X360,2013,85
Saints Row IV,X360,2013,20
Saints Row IV,PS3,2013,20
Saints Row IV,PC,2013,20
GRID 2,PS3,2013,17
GRID 2,X360,2013,17
GRID 2,PC,2013,17
Sonic & All-Stars Racing Transformed,PC,2013,6
Deadpool,PS3,2013,10
Deadpool,X360,2013,10
Terraria,X360,2013,65
Terraria,PS3,2013,65
Terraria,PSV,2013,65
Sniper Elite V2,WiiU,2013,10
Company of Heroes 2,PC,2013,22
Defiance,X360,2013,15
Defiance,PS3,2013,15
Defiance,PC,2013,15
Football Manager 2014,PC,2013,392
Football Manager 2014,PSV,2013,392
Rayman Legends,WiiU,2013,21
Rayman Legends,PS3,2013,21
Rayman Legends,X360,2013,21
Farming Simulator 2013,X360,2013,67
Farming Simulator 2013,PS3,2013,67
Goodbye Deponia,PC,2013,4
Dead Rising 3,XOne,2013,12
X Rebirth,PC,2013,40
Rocksmith 2014,PS3,2013,69
Rocksmith 2014,X360,2013,69
Rocksmith 2014,PC,2013,69
Remember Me,PS3,2013,6
Remember Me,X360,2013,6
Remember Me,PC,2013,6
F1 2013,PS3,2013,47
F1 2013,X360,2013,47
NBA 2K14,X360,2013,93
NBA 2K14,PS3,2013,93
NBA 2K14,PS4,2013,93
NBA 2K14,XOne,2013,93
Lost Planet 3,PS3,2013,11
Lost Planet 3,X360,2013,11
Lost Planet 3,PC,2013,11
Killer is Dead,PS3,2013,2
Killer is Dead,X360,2013,2
The Inner World,PC,2013,1
Fairy Fencer F,PS3,2013,26
Contrast,PC,2013,4
The Night of the Rabbit,PC,2013,8
Pro Evolution Soccer 2014,PS3,2013,60
Pro Evolution Soccer 2014,X360,2013,60
Pro Evolution Soccer 2014,3DS,2013,60
Pro Evolution Soccer 2014,PSP,2013,60
Pro Evolution Soccer 2014,PC,2013,60
BioShock Infinite,X360,2013,12
BioShock Infinite,PS3,2013,12
BioShock Infinite,PC,2013,12
Grand Theft Auto V,PS3,2013,49
Grand Theft Auto V,X360,2013,49
Saints Row IV,X360,2013,14
Saints Row IV,PS3,2013,14
Saints Row IV,PC,2013,14
GRID 2,PS3,2013,10
GRID 2,X360,2013,10
GRID 2,PC,2013,10
Sonic & All-Stars Racing Transformed,PC,2013,2
Deadpool,PS3,2013,8
Deadpool,X360,2013,8
Terraria,X360,2013,20
Terraria,PS3,2013,20
Terraria,PSV,2013,20
Sniper Elite V2,WiiU,2013,3
Company of Heroes 2,PC,2013,13
Defiance,X360,2013,4
Defiance,PS3,2013,4
Defiance,PC,2013,4
Football Manager 2014,PC,2013,181
Football Manager 2014,PSV,2013,181
Rayman Legends,WiiU,2013,18
Rayman Legends,PS3,2013,18
Rayman Legends,X360,2013,18
Farming Simulator 2013,X360,2013,16
Farming Simulator 2013,PS3,2013,16
Goodbye Deponia,PC,2013,3
Dead Rising 3,XOne,2013,12
X Rebirth,PC,2013,7
Rocksmith 2014,PS3,2013,27
Rocksmith 2014,X360,2013,27
Rocksmith 2014,PC,2013,27
Remember Me,PS3,2013,5
Remember Me,X360,2013,5
Remember Me,PC,2013,5
F1 2013,PS3,2013,7
F1 2013,X360,2013,7
NBA 2K14,X360,2013,68
NBA 2K14,PS3,2013,68
NBA 2K14,PS4,2013,68
NBA 2K14,XOne,2013,68
Lost Planet 3,PS3,2013,5
Lost Planet 3,X360,2013,5
Lost Planet 3,PC,2013,5
Killer is Dead,PS3,2013,1
Killer is Dead,X360,2013,1
The Inner World,PC,2013,1
Fairy Fencer F,PS3,2013,28
Contrast,PC,2013,4
The Night of the Rabbit,PC,2013,8
Pro Evolution Soccer 2014,PS3,2013,28
Pro Evolution Soccer 2014,X360,2013,28
Pro Evolution Soccer 2014,3DS,2013,28
Pro Evolution Soccer 2014,PSP,2013,28
Pro Evolution Soccer 2014,PC,2013,28
Grand Theft Auto V,PS4,2014,85
Grand Theft Auto V,XOne,2014,85
Far Cry 4,PS4,2014,36
Far Cry 4,XOne,2014,36
Far Cry 4,PS3,2014,36
Far Cry 4,X360,2014,36
Far Cry 4,PC,2014,36
Sleeping Dogs,PS4,2014,23
Sleeping Dogs,XOne,2014,23
Sniper Elite 3,PS4,2014,21
Sniper Elite 3,XOne,2014,21
Sniper Elite 3,X360,2014,21
Sniper Elite 3,PS3,2014,21
Borderlands 2,PSV,2014,59
The Crew,PS4,2014,55
The Crew,XOne,2014,55
The Crew,X360,2014,55
The Crew,PC,2014,55
Terraria,PS4,2014,65
Terraria,XOne,2014,65
The Wolf Among Us,PS4,2014,10
The Wolf Among Us,PS3,2014,10
The Wolf Among Us,XOne,2014,10
The Wolf Among Us,PSV,2014,10
Tropico 5,PC,2014,19
Tropico 5,X360,2014,19
LEGO The Hobbit,PS4,2014,30
LEGO The Hobbit,PS3,2014,30
LEGO The Hobbit,X360,2014,30
LEGO The Hobbit,XOne,2014,30
LEGO The Hobbit,3DS,2014,30
LEGO The Hobbit,WiiU,2014,30
LEGO The Hobbit,PSV,2014,30
LEGO The Hobbit,PC,2014,30
Football Manager 2015,PC,2014,315
The Evil Within,PS4,2014,9
The Evil Within,PS3,2014,9
The Evil Within,XOne,2014,9
The Evil Within,X360,2014,9
The Evil Within,PC,2014,9
Rayman Legends,PS4,2014,21
Rayman Legends,XOne,2014,21
Rayman Legends,PSV,2014,21
NBA 2K15,PS4,2014,136
NBA 2K15,XOne,2014,136
NBA 2K15,X360,2014,136
NBA 2K15,PS3,2014,136
NASCAR '14,X360,2014,4
NASCAR '14,PS3,2014,4
GRID Autosport,PS3,2014,9
GRID Autosport,X360,2014,9
GRID Autosport,PC,2014,9
Child of Light,PSV,2014,8
Child of Light,PS4,2014,8
Pro Evolution Soccer 2015,PS4,2014,208
Pro Evolution Soccer 2015,PS3,2014,208
Pro Evolution Soccer 2015,XOne,2014,208
Pro Evolution Soccer 2015,X360,2014,208
Pro Evolution Soccer 2015,PC,2014,208
F1 2014,PS3,2014,9
F1 2014,X360,2014,9
F1 2014,PC,2014,9
Pillars of Eternity,PC,2014,37
Trials Fusion,PS4,2014,20
Trials Fusion,XOne,2014,20
Trials Fusion,PC,2014,20
Rocksmith 2014,PS4,2014,69
Rocksmith 2014,XOne,2014,69
WWE 2K15,PS4,2014,29
WWE 2K15,PS3,2014,29
WWE 2K15,X360,2014,29
WWE 2K15,XOne,2014,29
Bound By Flame,PS4,2014,12
Sacred 3,PS3,2014,26
Sacred 3,X360,2014,26
Sacred 3,PC,2014,26
Enemy Front,PS3,2014,11
Enemy Front,X360,2014,11
The Golf Club,PS4,2014,10
The Golf Club,XOne,2014,10
Lara Croft and the Temple of Osiris,PS4,2014,5
Lara Croft and the Temple of Osiris,PC,2014,5
Don Bradman Cricket 14,PS3,2014,89
Grand Theft Auto V,PS4,2014,49
Grand Theft Auto V,XOne,2014,49
Far Cry 4,PS4,2014,25
Far Cry 4,XOne,2014,25
Far Cry 4,PS3,2014,25
Far Cry 4,X360,2014,25
Far Cry 4,PC,2014,25
Sleeping Dogs,PS4,2014,20
Sleeping Dogs,XOne,2014,20
Sniper Elite 3,PS4,2014,7
Sniper Elite 3,XOne,2014,7
Sniper Elite 3,X360,2014,7
Sniper Elite 3,PS3,2014,7
Borderlands 2,PSV,2014,22
The Crew,PS4,2014,23
The Crew,XOne,2014,23
The Crew,X360,2014,23
The Crew,PC,2014,23
Terraria,PS4,2014,20
Terraria,XOne,2014,20
The Wolf Among Us,PS4,2014,8
The Wolf Among Us,PS3,2014,8
The Wolf Among Us,XOne,2014,8
The Wolf Among Us,PSV,2014,8
Tropico 5,PC,2014,17
Tropico 5,X360,2014,17
LEGO The Hobbit,PS4,2014,7
LEGO The Hobbit,PS3,2014,7
LEGO The Hobbit,X360,2014,7
LEGO The Hobbit,XOne,2014,7
LEGO The Hobbit,3DS,2014,7
LEGO The Hobbit,WiiU,2014,7
LEGO The Hobbit,PSV,2014,7
LEGO The Hobbit,PC,2014,7
Football Manager 2015,PC,2014,144
The Evil Within,PS4,2014,4
The Evil Within,PS3,2014,4
The Evil Within,XOne,2014,4
The Evil Within,X360,2014,4
The Evil Within,PC,2014,4
Rayman Legends,PS4,2014,18
Rayman Legends,XOne,2014,18
Rayman Legends,PSV,2014,18
NBA 2K15,PS4,2014,107
NBA 2K15,XOne,2014,107
NBA 2K15,X360,2014,107
NBA 2K15,PS3,2014,107
NASCAR '14,X360,2014,1
NASCAR '14,PS3,2014,1
GRID Autosport,PS3,2014,5
GRID Autosport,X360,2014,5
GRID Autosport,PC,2014,5
Child of Light,PSV,2014,8
Child of Light,PS4,2014,8
Pro Evolution Soccer 2015,PS4,2014,116
Pro Evolution Soccer 2015,PS3,2014,116
Pro Evolution Soccer 2015,XOne,2014,116
Pro Evolution Soccer 2015,X360,2014,116
Pro Evolution Soccer 2015,PC,2014,116
F1 2014,PS3,2014,5
F1 2014,X360,2014,5
F1 2014,PC,2014,5
Pillars of Eternity,PC,2014,29
Trials Fusion,PS4,2014,9
Trials Fusion,XOne,2014,9
Trials Fusion,PC,2014,9
Rocksmith 2014,PS4,2014,27
Rocksmith 2014,XOne,2014,27
WWE 2K15,PS4,2014,3
WWE 2K15,PS3,2014,3
WWE 2K15,X360,2014,3
WWE 2K15,XOne,2014,3
Bound By Flame,PS4,2014,3
Sacred 3,PS3,2014,5
Sacred 3,X360,2014,5
Sacred 3,PC,2014,5
Enemy Front,PS3,2014,8
Enemy Front,X360,2014,8
The Golf Club,PS4,2014,10
The Golf Club,XOne,2014,10
Lara Croft and the Temple of Osiris,PS4,2014,3
Lara Croft and the Temple of Osiris,PC,2014,3
Don Bradman Cricket 14,PS3,2014,89
Fallout 4,PS4,2015,64
Fallout 4,XOne,2015,64
Fallout 4,PC,2015,64
Ultra Street Fighter IV,PS4,2015,37
Grand Theft Auto V,PC,2015,85
Dying Light,PS4,2015,28
Dying Light,XOne,2015,28
Dying Light,PC,2015,28
Saints Row IV,PS4,2015,20
Saints Row IV,XOne,2015,20
The Talos Principle,PS4,2015,18
Dishonored,PS4,2015,20
Dishonored,XOne,2015,20
Deadpool,PS4,2015,10
Deadpool,XOne,2015,10
Project CARS,PS4,2015,14
Project CARS,XOne,2015,14
Project CARS,PC,2015,14
State of Decay,XOne,2015,14
Darksiders II,PS4,2015,19
Darksiders II,XOne,2015,19
Tropico 5,PS4,2015,19
LEGO Jurassic World,PS4,2015,16
LEGO Jurassic World,X360,2015,16
LEGO Jurassic World,PS3,2015,16
LEGO Jurassic World,XOne,2015,16
LEGO Jurassic World,3DS,2015,16
LEGO Jurassic World,WiiU,2015,16
LEGO Jurassic World,PSV,2015,16
LEGO Jurassic World,PC,2015,16
Football Manager 2016,PC,2015,85
Mortal Kombat X,PS4,2015,68
Mortal Kombat X,XOne,2015,68
Mortal Kombat X,PC,2015,68
Shovel Knight,3DS,2015,12
Shovel Knight,WiiU,2015,12
Shovel Knight,PS4,2015,12
Evolve,PS4,2015,23
Evolve,XOne,2015,23
Evolve,PC,2015,23
Wasteland 2,PS4,2015,22
Wasteland 2,PC,2015,22
Wasteland 2,XOne,2015,22
Just Cause 3,PS4,2015,15
Just Cause 3,XOne,2015,15
Just Cause 3,PC,2015,15
Tales of Zestiria,PS3,2015,28
Tales of Zestiria,PS4,2015,28
NBA 2K16,PS4,2015,83
NBA 2K16,XOne,2015,83
NBA 2K16,X360,2015,83
NBA 2K16,PS3,2015,83
NBA 2K16,PC,2015,83
Winning Post 8 2015,PSV,2015,127
Winning Post 8 2015,PS3,2015,127
Zombie Army Trilogy,PS4,2015,4
Zombie Army Trilogy,XOne,2015,4
Devil May Cry 4,PS4,2015,6
War for the Overworld,PC,2015,10
Assassin's Creed Syndicate,PS4,2015,32
Assassin's Creed Syndicate,XOne,2015,32
Assassin's Creed Syndicate,PC,2015,32
Act of Aggression,PC,2015,4
F1 2015,PS4,2015,19
F1 2015,XOne,2015,19
F1 2015,PC,2015,19
Rugby League Team Manager 2015,PC,2015,10
Pro Evolution Soccer 2016,PS4,2015,55
Pro Evolution Soccer 2016,PS3,2015,55
Pro Evolution Soccer 2016,XOne,2015,55
Pro Evolution Soccer 2016,X360,2015,55
Pro Evolution Soccer 2016,PC,2015,55
Anno 2205,PC,2015,22
Shantae and the Pirate's Curse,3DS,2015,5
MX vs. ATV Supercross Encore,PS4,2015,4
MX vs. ATV Supercross Encore,XOne,2015,4
The Book of Unwritten Tales 2,PS4,2015,14
Don Bradman Cricket 14,PS4,2015,89
Don Bradman Cricket 14,XOne,2015,89
Fallout 4,PS4,2015,46
Fallout 4,XOne,2015,46
Fallout 4,PC,2015,46
Ultra Street Fighter IV,PS4,2015,4
Grand Theft Auto V,PC,2015,49
Dying Light,PS4,2015,23
Dying Light,XOne,2015,23
Dying Light,PC,2015,23
Saints Row IV,PS4,2015,14
Saints Row IV,XOne,2015,14
The Talos Principle,PS4,2015,7
Dishonored,PS4,2015,13
Dishonored,XOne,2015,13
Deadpool,PS4,2015,8
Deadpool,XOne,2015,8
Project CARS,PS4,2015,10
Project CARS,XOne,2015,10
Project CARS,PC,2015,10
State of Decay,XOne,2015,4
Darksiders II,PS4,2015,14
Darksiders II,XOne,2015,14
Tropico 5,PS4,2015,17
LEGO Jurassic World,PS4,2015,12
LEGO Jurassic World,X360,2015,12
LEGO Jurassic World,PS3,2015,12
LEGO Jurassic World,XOne,2015,12
LEGO Jurassic World,3DS,2015,12
LEGO Jurassic World,WiiU,2015,12
LEGO Jurassic World,PSV,2015,12
LEGO Jurassic World,PC,2015,12
Football Manager 2016,PC,2015,53
Mortal Kombat X,PS4,2015,13
Mortal Kombat X,XOne,2015,13
Mortal Kombat X,PC,2015,13
Shovel Knight,3DS,2015,6
Shovel Knight,WiiU,2015,6
Shovel Knight,PS4,2015,6
Evolve,PS4,2015,12
Evolve,XOne,2015,12
Evolve,PC,2015,12
Wasteland 2,PS4,2015,18
Wasteland 2,PC,2015,18
Wasteland 2,XOne,2015,18
Just Cause 3,PS4,2015,11
Just Cause 3,XOne,2015,11
Just Cause 3,PC,2015,11
Tales of Zestiria,PS3,2015,28
Tales of Zestiria,PS4,2015,28
NBA 2K16,PS4,2015,36
NBA 2K16,XOne,2015,36
NBA 2K16,X360,2015,36
NBA 2K16,PS3,2015,36
NBA 2K16,PC,2015,36
Winning Post 8 2015,PSV,2015,127
Winning Post 8 2015,PS3,2015,127
Zombie Army Trilogy,PS4,2015,1
Zombie Army Trilogy,XOne,2015,1
Devil May Cry 4,PS4,2015,4
War for the Overworld,PC,2015,11
Assassin's Creed Syndicate,PS4,2015,35
Assassin's Creed Syndicate,XOne,2015,35
Assassin's Creed Syndicate,PC,2015,35
Act of Aggression,PC,2015,3
F1 2015,PS4,2015,11
F1 2015,XOne,2015,11
F1 2015,PC,2015,11
Rugby League Team Manager 2015,PC,2015,10
Pro Evolution Soccer 2016,PS4,2015,50
Pro Evolution Soccer 2016,PS3,2015,50
Pro Evolution Soccer 2016,XOne,2015,50
Pro Evolution Soccer 2016,X360,2015,50
Pro Evolution Soccer 2016,PC,2015,50
Anno 2205,PC,2015,22
Shantae and the Pirate's Curse,3DS,2015,6
MX vs. ATV Supercross Encore,PS4,2015,4
MX vs. ATV Supercross Encore,XOne,2015,4
The Book of Unwritten Tales 2,PS4,2015,14
Don Bradman Cricket 14,PS4,2015,89
Don Bradman Cricket 14,XOne,2015,89
7 Days to Die,PS4,2016,42
7 Days to Die,XOne,2016,42
Rocket League,PS4,2016,53
Rocket League,XOne,2016,53
Rocket League,PC,2016,53
Goat Simulator,XOne,2016,7
Prison Architect,PS4,2016,27
Prison Architect,XOne,2016,27
Valkyria Chronicles,PS4,2016,10
Terraria,3DS,2016,65
Terraria,WiiU,2016,65
This War of Mine,PS4,2016,13
DiRT Rally,PS4,2016,11
DiRT Rally,XOne,2016,11
DiRT Rally,PC,2016,11
Dead Rising 2,PS4,2016,6
Dead Rising 2,XOne,2016,6
Assetto Corsa,PS4,2016,16
Assetto Corsa,XOne,2016,16
Dungeons 2,PS4,2016,14
Republique,PS4,2016,4
The Book of Unwritten Tales 2,WiiU,2016,14
Azure Striker Gunvolt,3DS,2016,6
Mega Man Legacy Collection,3DS,2016,6
Mega Man Legacy Collection,PS4,2016,6
7 Days to Die,PS4,2016,11
7 Days to Die,XOne,2016,11
Rocket League,PS4,2016,19
Rocket League,XOne,2016,19
Rocket League,PC,2016,19
Goat Simulator,XOne,2016,2
Prison Architect,PS4,2016,13
Prison Architect,XOne,2016,13
Valkyria Chronicles,PS4,2016,5
Terraria,3DS,2016,20
Terraria,WiiU,2016,20
This War of Mine,PS4,2016,11
DiRT Rally,PS4,2016,7
DiRT Rally,XOne,2016,7
DiRT Rally,PC,2016,7
Dead Rising 2,PS4,2016,5
Dead Rising 2,XOne,2016,5
Assetto Corsa,PS4,2016,11
Assetto Corsa,XOne,2016,11
Dungeons 2,PS4,2016,14
Republique,PS4,2016,4
The Book of Unwritten Tales 2,WiiU,2016,14
Azure Striker Gunvolt,3DS,2016,6
Mega Man Legacy Collection,3DS,2016,6
Mega Man Legacy Collection,PS4,2016,6
Tropico 4,X360,,25
TERA,PC,,20
GRID,DS,,23
GRID,PC,,23
Bejeweled 3,DS,,15
Bejeweled 3,PS3,,15
Bejeweled 3,X360,,15
Singularity,X360,,10
Singularity,PS3,,10
BioShock 2,PC,,8
Homeworld Remastered Collection,PC,,11
Test Drive Unlimited 2,X360,,29
Test Drive Unlimited 2,PS3,,29
Test Drive Unlimited 2,PC,,29
Street Fighter IV,PC,,9
Rocksmith,PC,,13
Port Royale 3,PS3,,16
Port Royale 3,X360,,16
Clockwork Empires,PC,,9
RollerCoaster Tycoon,PC,,1
Tropico 4,X360,,14
TERA,PC,,5
GRID,DS,,3
GRID,PC,,3
Bejeweled 3,DS,,6
Bejeweled 3,PS3,,6
Bejeweled 3,X360,,6
Singularity,X360,,10
Singularity,PS3,,10
BioShock 2,PC,,5
Homeworld Remastered Collection,PC,,5
Test Drive Unlimited 2,X360,,8
Test Drive Unlimited 2,PS3,,8
Test Drive Unlimited 2,PC,,8
Street Fighter IV,PC,,9
Rocksmith,PC,,4
Port Royale 3,PS3,,5
Port Royale 3,X360,,5
Clockwork Empires,PC,,9
RollerCoaster Tycoon,PC,,1